  x =        1.00000000000000
                      y                     f1                     f2                  delta                   frac
<<<<<<< ours
       82.0000000000000     0.0121951219512192     0.0121951219512195  -2.81025203108243e-16  -2.30440666548759e-14
       83.0000000000000     0.0120481927710844     0.0120481927710843   2.25514051876985e-17   1.87176663057898e-15
       84.0000000000000     0.0119047619047621     0.0119047619047619   2.01227923213310e-16   1.69031455499180e-14
       85.0000000000000     0.0117647058823530     0.0117647058823529   1.04083408558608e-16   8.84708972748172e-15
       86.0000000000000     0.0116279069767436     0.0116279069767442  -6.00214322687975e-16  -5.16184317511658e-14
       87.0000000000000     0.0114942528735634     0.0114942528735632   1.83880688453542e-16   1.59976198954581e-14
       88.0000000000000     0.0113636363636367     0.0113636363636363   3.33066907387547e-16   2.93098878501042e-14
       89.0000000000000     0.0112359550561797     0.0112359550561798  -9.88792381306780e-17  -8.80025219363034e-15
       90.0000000000000     0.0111111111111113     0.0111111111111111   1.57859836313889e-16   1.42073852682501e-14
       91.0000000000000     0.0109890109890110     0.0109890109890110  -1.90819582357449e-17  -1.73645819945278e-15
       92.0000000000000     0.0108695652173912     0.0108695652173913  -1.07552855510562e-16  -9.89486270697172e-15
       93.0000000000000     0.0107526881720429     0.0107526881720430  -1.52655665885959e-16  -1.41969769273942e-14
       94.0000000000000     0.0106382978723407     0.0106382978723404   2.35922392732846e-16   2.21767049168875e-14
       95.0000000000000     0.0105263157894734     0.0105263157894737  -2.61943244872498e-16  -2.48846082628873e-14
       96.0000000000000     0.0104166666666666     0.0104166666666667  -8.32667268468867e-17  -7.99360577730112e-15
       97.0000000000000     0.0103092783505154     0.0103092783505155  -7.28583859910259e-17  -7.06726344112951e-15
       98.0000000000000     0.0102040816326534     0.0102040816326531   3.81639164714898e-16   3.74006381420600e-14
       99.0000000000000     0.0101010101010099     0.0101010101010101  -1.78676518025611e-16  -1.76889752845355e-14
       100.000000000000     0.0100000000000002     0.0100000000000000   1.87350135405495e-16   1.87350135405495e-14
max(abs(diff)) = 1.06581410364015e-14
max(abs(frac)) = 5.16184317511658e-14

  x =        2.00000000000000
                      y                     f1                     f2                  delta                   frac
       1.00000000000000      0.500000000000005      0.500000000000000   5.32907051820075e-15   1.06581410364015e-14
