

#                      x                    ber                    bei                    ker                    kei              Wronskian
#              =========              =========              =========              =========              =========
  1.430000000000000e+00  1.019354763026110e+00  5.534333955886662e-01                    nan                    nan
  1.440000000000000e+00  1.013705766669575e+00  5.590760777868314e-01                    nan                    nan
  1.450000000000000e+00  1.008018118481047e+00  5.647057279147725e-01                    nan                    nan
  1.460000000000000e+00  1.002292318586363e+00  5.703217102457627e-01                    nan                    nan
  1.470000000000000e+00  9.965288585343853e-01  5.759233949606991e-01                    nan                    nan
  1.480000000000000e+00  9.907282215804253e-01  5.815101581417040e-01                    nan                    nan
  1.490000000000000e+00  9.848908829615276e-01  5.870813817647743e-01                    nan                    nan
  1.500000000000000e+00  9.790173101638456e-01  5.926364536915160e-01                    nan                    nan
  1.510000000000000e+00  9.731079631823649e-01  5.981747676600043e-01                    nan                    nan
  1.520000000000000e+00  9.671632947732007e-01  6.036957232748034e-01                    nan                    nan
  1.530000000000000e+00  9.611837506987029e-01  6.091987259961846e-01                    nan                    nan
  1.540000000000000e+00  9.551697699655755e-01  6.146831871285745e-01                    nan                    nan
  1.550000000000000e+00  9.491217850562330e-01  6.201485238082711e-01                    nan                    nan
  1.560000000000000e+00  9.430402221535814e-01  6.255941589904542e-01                    nan                    nan
  1.570000000000000e+00  9.369255013594234e-01  6.310195214355271e-01                    nan                    nan
  1.580000000000000e+00  9.307780369066836e-01  6.364240456948198e-01                    nan                    nan
  1.590000000000000e+00  9.245982373656131e-01  6.418071720956752e-01                    nan                    nan
  1.600000000000000e+00  9.183865058441690e-01  6.471683467259602e-01                    nan                    nan
  1.610000000000000e+00  9.121432401827227e-01  6.525070214180181e-01                    nan                    nan
  1.620000000000000e+00  9.058688331432626e-01  6.578226537320920e-01                    nan                    nan
  1.630000000000000e+00  8.995636725932494e-01  6.631147069392491e-01                    nan                    nan
  1.640000000000000e+00  8.932281416842693e-01  6.683826500038256e-01                    nan                    nan
  1.650000000000000e+00  8.868626190256389e-01  6.736259575654201e-01                    nan                    nan
  1.660000000000000e+00  8.804674788530922e-01  6.788441099204556e-01                    nan                    nan
  1.670000000000000e+00  8.740430911926935e-01  6.840365930033367e-01                    nan                    nan
  1.680000000000000e+00  8.675898220201050e-01  6.892028983672197e-01                    nan                    nan
  1.690000000000000e+00  8.611080334153327e-01  6.943425231644201e-01                    nan                    nan
  1.700000000000000e+00  8.545980837130795e-01  6.994549701264762e-01                    nan                    nan
  1.710000000000000e+00  8.480603276488198e-01  7.045397475438899e-01                    nan                    nan
  1.720000000000000e+00  8.414951165007097e-01  7.095963692455602e-01                    nan                    nan
  1.730000000000000e+00  8.349027982274487e-01  7.146243545779349e-01                    nan                    nan
  1.740000000000000e+00  8.282837176021969e-01  7.196232283838906e-01                    nan                    nan
  1.750000000000000e+00  8.216382163426503e-01  7.245925209813620e-01                    nan                    nan
  1.760000000000000e+00  8.149666332373812e-01  7.295317681417389e-01                    nan                    nan
  1.770000000000000e+00  8.082693042685354e-01  7.344405110680442e-01                    nan                    nan
  1.780000000000000e+00  8.015465627309826e-01  7.393182963729058e-01                    nan                    nan
  1.790000000000000e+00  7.947987393480174e-01  7.441646760563466e-01                    nan                    nan
