

                         x                       ber                       bei                       ker                       kei                 Wronskian
  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00                      -nan                      -nan
  1.400000000000000000e+00  1.036064705000635877e+00  5.364336025606104952e-01 -2.222852408672828025e+00 -1.535060400473107577e+00
  1.410000000000000000e+00  1.030534755095133431e+00  5.421115074580680511e-01 -2.252587508065065451e+00 -1.552276444999242430e+00
  1.420000000000000000e+00  1.024964598555977435e+00  5.477783229600294560e-01 -2.282426449336562322e+00 -1.569736095314023365e+00
  1.430000000000000000e+00  1.019354763026109524e+00  5.534333955886662003e-01 -2.312366944192882048e+00 -1.587443573620967461e+00
  1.440000000000000000e+00  1.013705766669575410e+00  5.590760777868314599e-01 -2.342406631906968516e+00 -1.605403144076864825e+00
  1.450000000000000000e+00  1.008018118481046475e+00  5.647057279147723545e-01 -2.372543077802726841e+00 -1.623619112834504956e+00
  1.460000000000000000e+00  1.002292318586363018e+00  5.703217102457626102e-01 -2.402773771715524857e+00 -1.642095828073196808e+00
  1.470000000000000000e+00  9.965288585343850328e-01  5.759233949606990521e-01 -2.433096126429296484e+00 -1.660837680016777461e+00
  1.480000000000000000e+00  9.907282215804251194e-01  5.815101581417039808e-01 -2.463507476089928173e+00 -1.679849100938795594e+00
  1.490000000000000000e+00  9.848908829615273177e-01  5.870813817647741635e-01 -2.494005074594609707e+00 -1.699134565154547169e+00
  1.500000000000000000e+00  9.790173101638454310e-01  5.926364536915158696e-01 -2.524586093956830560e+00 -1.718698588999631964e+00
  1.510000000000000000e+00  9.731079631823646062e-01  5.981747676600041454e-01 -2.555247622646702913e+00 -1.738545730794690722e+00
  1.520000000000000000e+00  9.671632947732006282e-01  6.036957232748033002e-01 -2.585986663906292245e+00 -1.758680590795973830e+00
  1.530000000000000000e+00  9.611837506987025021e-01  6.091987259961844107e-01 -2.616800134039636168e+00 -1.779107811131383450e+00
  1.540000000000000000e+00  9.551697699655754194e-01  6.146831871285745088e-01 -2.647684860677131918e+00 -1.799832075721622055e+00
  1.550000000000000000e+00  9.491217850562331179e-01  6.201485238082710143e-01 -2.678637581013972570e+00 -1.820858110186071238e+00
  1.560000000000000000e+00  9.430402221535809215e-01  6.255941589904539097e-01 -2.709654940022311662e+00 -1.842190681733015515e+00
  1.570000000000000000e+00  9.369255013594233812e-01  6.310195214355271081e-01 -2.740733488636835573e+00 -1.863834599033816619e+00
  1.580000000000000000e+00  9.307780369066833849e-01  6.364240456948194661e-01 -2.771869681913422520e+00 -1.885794712080634519e+00
  1.590000000000000000e+00  9.245982373656128835e-01  6.418071720956749147e-01 -2.803059877160566623e+00 -1.908075912027281950e+00
  1.600000000000000000e+00  9.183865058441689396e-01  6.471683467259602305e-01 -2.834300332043245050e+00 -1.930683131012789843e+00
  1.610000000000000000e+00  9.121432401827226565e-01  6.525070214180180589e-01 -2.865587202658905740e+00 -1.953621341967251420e+00
  1.620000000000000000e+00  9.058688331432626558e-01  6.578226537320918986e-01 -2.896916541585252768e+00 -1.976895558399503077e+00
  1.630000000000000000e+00  8.995636725932491415e-01  6.631147069392488982e-01 -2.928284295899505923e+00 -2.000510834166190429e+00
  1.640000000000000000e+00  8.932281416842691976e-01  6.683826500038254756e-01 -2.959686305168810593e+00 -2.024472263221758009e+00
