

Spouge Algorithm


spouge<float>
err = 6.349363e-02
err = 7.145545e-03
err = 9.285597e-04
err = 1.279854e-04
err = 1.821905e-05
err = 2.647008e-06
err = 3.900335e-07
a = 8.000000e+00
c_0 = 2.901419e+03
c_1 = -5.929168e+03
c_2 = 4.148274e+03
c_3 = -1.164760e+03
c_4 = 1.174135e+02
c_5 = -2.786588e+00
c_6 = 3.775392e-03
c_7 = -0.000000e+00
 0.000000e+00 inf inf -nan
 1.690000e+00 -9.785336e-02 -9.785342e-02 5.960464e-08
 1.700000e+00 -9.580708e-02 -9.580771e-02 6.332994e-07
 1.710000e+00 -9.368324e-02 -9.368268e-02 -5.662441e-07
 1.720000e+00 -9.147948e-02 -9.147891e-02 -5.662441e-07
 1.730000e+00 -8.919621e-02 -8.919699e-02 7.823110e-07
 1.740000e+00 -8.683646e-02 -8.683755e-02 1.087785e-06
 1.750000e+00 -8.440179e-02 -8.440112e-02 -6.631017e-07
 1.760000e+00 -8.188868e-02 -8.188829e-02 -3.874302e-07
 1.770000e+00 -7.930034e-02 -7.929960e-02 -7.450581e-07
 1.780000e+00 -7.663530e-02 -7.663561e-02 3.129244e-07
 1.790000e+00 -7.389671e-02 -7.389686e-02 1.564622e-07
 1.800000e+00 -7.108492e-02 -7.108389e-02 -1.028180e-06
 1.810000e+00 -6.819749e-02 -6.819721e-02 -2.756715e-07
 1.820000e+00 -6.523663e-02 -6.523737e-02 7.376075e-07
 1.830000e+00 -6.220549e-02 -6.220485e-02 -6.444752e-07
 1.840000e+00 -5.910063e-02 -5.910017e-02 -4.544854e-07
 1.850000e+00 -5.592430e-02 -5.592385e-02 -4.507601e-07
 1.860000e+00 -5.267584e-02 -5.267631e-02 4.619360e-07
 1.870000e+00 -4.935932e-02 -4.935813e-02 -1.192093e-06
 1.880000e+00 -4.596943e-02 -4.596975e-02 3.241003e-07
 1.890000e+00 -4.251212e-02 -4.251165e-02 -4.693866e-07
 1.900000e+00 -3.898388e-02 -3.898428e-02 4.023314e-07
 1.910000e+00 -3.538793e-02 -3.538812e-02 1.899898e-07
 1.920000e+00 -3.172350e-02 -3.172362e-02 1.229346e-07
 1.930000e+00 -2.799195e-02 -2.799123e-02 -7.245690e-07
 1.940000e+00 -2.419156e-02 -2.419138e-02 -1.769513e-07
 1.950000e+00 -2.032548e-02 -2.032453e-02 -9.536743e-07
 1.960000e+00 -1.639211e-02 -1.639109e-02 -1.017004e-06
 1.970000e+00 -1.239264e-02 -1.239151e-02 -1.128763e-06
 1.980000e+00 -8.325458e-03 -8.326199e-03 7.413328e-07
